DATE,CARRIER_CODE,AIRPORT_CODE,DELAY_CAUSE,DELAY_MINUTES
2025-06-01,9E,LIT,WEATHER_DELAY,59.0
2025-06-01,9E,MCI,CARRIER_DELAY,509.0
2025-06-01,9E,MCI,LATE_AIRCRAFT_DELAY,187.0
2025-06-01,9E,MCI,NAS_DELAY,426.0
2025-06-01,9E,MCI,SECURITY_DELAY,0.0
2025-06-01,9E,MCI,WEATHER_DELAY,244.0
2025-06-01,9E,MCO,CARRIER_DELAY,0.0
2025-06-01,9E,MCO,LATE_AIRCRAFT_DELAY,0.0
2025-06-01,9E,MCO,NAS_DELAY,0.0
2025-06-01,9E,MCO,SECURITY_DELAY,0.0
2025-06-01,9E,MCO,WEATHER_DELAY,0.0
2025-06-01,9E,MDT,CARRIER_DELAY,419.0
2025-06-01,9E,MDT,LATE_AIRCRAFT_DELAY,588.0
2025-06-01,9E,MDT,NAS_DELAY,185.0
2025-06-01,9E,MDT,SECURITY_DELAY,0.0
2025-06-01,9E,MDT,WEATHER_DELAY,132.0
2025-06-01,9E,MDW,CARRIER_DELAY,295.0
2025-06-01,9E,MDW,LATE_AIRCRAFT_DELAY,138.0
2025-06-01,9E,MDW,NAS_DELAY,16.0
2025-06-01,9E,MDW,SECURITY_DELAY,0.0
2025-06-01,9E,MDW,WEATHER_DELAY,28.0
2025-06-01,9E,MEM,CARRIER_DELAY,921.0
2025-06-01,9E,MEM,LATE_AIRCRAFT_DELAY,666.0
2025-06-01,9E,MEM,NAS_DELAY,482.0
2025-06-01,9E,MEM,SECURITY_DELAY,0.0
2025-06-01,9E,MEM,WEATHER_DELAY,0.0
2025-06-01,9E,MGM,CARRIER_DELAY,752.0
2025-06-01,9E,MGM,LATE_AIRCRAFT_DELAY,372.0
2025-06-01,9E,MGM,NAS_DELAY,245.0
2025-06-01,9E,MGM,SECURITY_DELAY,0.0
2025-06-01,9E,MGM,WEATHER_DELAY,50.0
2025-06-01,9E,MKE,CARRIER_DELAY,1121.0
2025-06-01,9E,MKE,LATE_AIRCRAFT_DELAY,960.0
2025-06-01,9E,MKE,NAS_DELAY,426.0
2025-06-01,9E,MKE,SECURITY_DELAY,0.0
2025-06-01,9E,MKE,WEATHER_DELAY,0.0
2025-06-01,9E,MLI,CARRIER_DELAY,230.0
2025-06-01,9E,MLI,LATE_AIRCRAFT_DELAY,813.0
2025-06-01,9E,MLI,NAS_DELAY,270.0
2025-06-01,9E,MLI,SECURITY_DELAY,0.0
2025-06-01,9E,MLI,WEATHER_DELAY,128.0
2025-06-01,9E,MLU,CARRIER_DELAY,1168.0
2025-06-01,9E,MLU,LATE_AIRCRAFT_DELAY,1039.0
2025-06-01,9E,MLU,NAS_DELAY,131.0
2025-06-01,9E,MLU,SECURITY_DELAY,0.0
2025-06-01,9E,MLU,WEATHER_DELAY,417.0
2025-06-01,9E,MOB,CARRIER_DELAY,618.0
2025-06-01,9E,MOB,LATE_AIRCRAFT_DELAY,535.0
2025-06-01,9E,MOB,NAS_DELAY,584.0
2025-06-01,9E,MOB,SECURITY_DELAY,0.0
2025-06-01,9E,MOB,WEATHER_DELAY,200.0
2025-06-01,9E,MOT,CARRIER_DELAY,60.0
2025-06-01,9E,MOT,LATE_AIRCRAFT_DELAY,490.0
2025-06-01,9E,MOT,NAS_DELAY,0.0
2025-06-01,9E,MOT,SECURITY_DELAY,0.0
2025-06-01,9E,MOT,WEATHER_DELAY,47.0
2025-06-01,9E,MSN,CARRIER_DELAY,770.0
2025-06-01,9E,MSN,LATE_AIRCRAFT_DELAY,595.0
2025-06-01,9E,MSN,NAS_DELAY,209.0
2025-06-01,9E,MSN,SECURITY_DELAY,0.0
2025-06-01,9E,MSN,WEATHER_DELAY,219.0
2025-06-01,9E,MSP,CARRIER_DELAY,4077.0
2025-06-01,9E,MSP,LATE_AIRCRAFT_DELAY,10200.0
2025-06-01,9E,MSP,NAS_DELAY,2177.0
2025-06-01,9E,MSP,SECURITY_DELAY,0.0
2025-06-01,9E,MSP,WEATHER_DELAY,1100.0
2025-06-01,9E,MYR,CARRIER_DELAY,0.0
2025-06-01,9E,MYR,LATE_AIRCRAFT_DELAY,0.0
2025-06-01,9E,MYR,NAS_DELAY,0.0
2025-06-01,9E,MYR,SECURITY_DELAY,0.0
2025-06-01,9E,MYR,WEATHER_DELAY,0.0
2025-06-01,9E,OAJ,CARRIER_DELAY,516.0
2025-06-01,9E,OAJ,LATE_AIRCRAFT_DELAY,1427.0
2025-06-01,9E,OAJ,NAS_DELAY,586.0
2025-06-01,9E,OAJ,SECURITY_DELAY,0.0
2025-06-01,9E,OAJ,WEATHER_DELAY,71.0
2025-06-01,9E,OMA,CARRIER_DELAY,992.0
2025-06-01,9E,OMA,LATE_AIRCRAFT_DELAY,1643.0
2025-06-01,9E,OMA,NAS_DELAY,594.0
2025-06-01,9E,OMA,SECURITY_DELAY,0.0
2025-06-01,9E,OMA,WEATHER_DELAY,54.0
2025-06-01,9E,ORD,CARRIER_DELAY,341.0
2025-06-01,9E,ORD,LATE_AIRCRAFT_DELAY,152.0
2025-06-01,9E,ORD,NAS_DELAY,409.0
2025-06-01,9E,ORD,SECURITY_DELAY,0.0
2025-06-01,9E,ORD,WEATHER_DELAY,93.0
2025-06-01,9E,ORF,CARRIER_DELAY,1769.0
2025-06-01,9E,ORF,LATE_AIRCRAFT_DELAY,2105.0
2025-06-01,9E,ORF,NAS_DELAY,1231.0
2025-06-01,9E,ORF,SECURITY_DELAY,0.0
2025-06-01,9E,ORF,WEATHER_DELAY,0.0
2025-06-01,9E,ORH,CARRIER_DELAY,135.0
2025-06-01,9E,ORH,LATE_AIRCRAFT_DELAY,25.0
2025-06-01,9E,ORH,NAS_DELAY,12.0
2025-06-01,9E,ORH,SECURITY_DELAY,0.0
2025-06-01,9E,ORH,WEATHER_DELAY,0.0
2025-06-01,9E,PIT,CARRIER_DELAY,1536.0
2025-06-01,9E,PIT,LATE_AIRCRAFT_DELAY,692.0
2025-06-01,9E,PIT,NAS_DELAY,645.0
2025-06-01,9E,PIT,SECURITY_DELAY,0.0
2025-06-01,9E,PIT,WEATHER_DELAY,90.0
2025-06-01,9E,PNS,CARRIER_DELAY,124.0
2025-06-01,9E,PNS,LATE_AIRCRAFT_DELAY,5.0
2025-06-01,9E,PNS,NAS_DELAY,22.0
2025-06-01,9E,PNS,SECURITY_DELAY,0.0
2025-06-01,9E,PNS,WEATHER_DELAY,0.0
2025-06-01,9E,PVD,CARRIER_DELAY,228.0
2025-06-01,9E,PVD,LATE_AIRCRAFT_DELAY,444.0
2025-06-01,9E,PVD,NAS_DELAY,54.0
2025-06-01,9E,PVD,SECURITY_DELAY,0.0
2025-06-01,9E,PVD,WEATHER_DELAY,0.0
2025-06-01,9E,PWM,CARRIER_DELAY,1130.0
2025-06-01,9E,PWM,LATE_AIRCRAFT_DELAY,2471.0
2025-06-01,9E,PWM,NAS_DELAY,466.0
2025-06-01,9E,PWM,SECURITY_DELAY,0.0
2025-06-01,9E,PWM,WEATHER_DELAY,748.0
2025-06-01,9E,RAP,CARRIER_DELAY,246.0
2025-06-01,9E,RAP,LATE_AIRCRAFT_DELAY,286.0
2025-06-01,9E,RAP,NAS_DELAY,64.0
2025-06-01,9E,RAP,SECURITY_DELAY,0.0
2025-06-01,9E,RAP,WEATHER_DELAY,0.0
2025-06-01,9E,RDU,CARRIER_DELAY,3361.0
2025-06-01,9E,RDU,LATE_AIRCRAFT_DELAY,11858.0
2025-06-01,9E,RDU,NAS_DELAY,2895.0
2025-06-01,9E,RDU,SECURITY_DELAY,0.0
2025-06-01,9E,RDU,WEATHER_DELAY,72.0
2025-06-01,9E,RIC,CARRIER_DELAY,960.0
2025-06-01,9E,RIC,LATE_AIRCRAFT_DELAY,2741.0
2025-06-01,9E,RIC,NAS_DELAY,1133.0
2025-06-01,9E,RIC,SECURITY_DELAY,0.0
2025-06-01,9E,RIC,WEATHER_DELAY,494.0
2025-06-01,9E,ROA,CARRIER_DELAY,628.0
2025-06-01,9E,ROA,LATE_AIRCRAFT_DELAY,786.0
2025-06-01,9E,ROA,NAS_DELAY,896.0
2025-06-01,9E,ROA,SECURITY_DELAY,0.0
2025-06-01,9E,ROA,WEATHER_DELAY,107.0
2025-06-01,9E,ROC,CARRIER_DELAY,989.0
2025-06-01,9E,ROC,LATE_AIRCRAFT_DELAY,3081.0
2025-06-01,9E,ROC,NAS_DELAY,2092.0
2025-06-01,9E,ROC,SECURITY_DELAY,0.0
2025-06-01,9E,ROC,WEATHER_DELAY,205.0
